Sub,MIP_Con,Pic_Con,Avg_Pic_Rate,STAI1_pos,STAI1_neg,mood1_happy,mood1_sad,mood1_inspired,mood1_angry,STAI2_pos,STAI2_neg,mood2_happy,mood2_sad,mood2_inspired,mood2_angry,Age,"Gender (1=M,2=F)"
533,Neut,Nat,6.2,4,1,100,0,90,0,4,1,100,0,100,0,37,1
534,Neg,Urb,4.366666667,3.333333333,2.333333333,0,81,50,82,4,1,50,49,50,51,35,2
535,Neg,Nat,5.766666667,1,3,0,100,70,0,3,1,69,0,90,0,35,2
536,Neut,Anim,5.4,3.333333333,1,79,4,87,2,3.333333333,1,82,2,76,0,41,1
537,Neg,Nat,6,2.333333333,1.333333333,51,11,5,8,2.333333333,2,100,0,100,0,19,1
538,Neg,Urb,7,1,3,0,100,0,0,3,1,35,0,100,0,30,1
539,Neg,Anim,6.4,2,1,8,98,23,13,4,1,89,1,90,0,26,1
540,Neg,Urb,5.5,2,3,30,88,71,9,2.666666667,1.333333333,68,29,81,28,44,2
541,Neg,Nat,5.466666667,2,2.666666667,10,97,1,0,3.666666667,1,69,18,86,1,65,2
542,Neg,Anim,5.7,2.666666667,1.333333333,28,52,38,21,2.666666667,1,20,0,30,0,45,2
543,Neut,Nat,6.433333333,3.666666667,1,50,0,50,0,3,1,59,0,64,0,36,2
544,Neg,Anim,7,1.333333333,2.666666667,0,87,0,18,3,1.666666667,100,19,36,9,28,2
545,Neut,Nat,5.533333333,3,1.333333333,66,38,73,4,4,1.333333333,69,30,82,0,41,1
546,Neut,Anim,5.333333333,3,1,49,0,50,0,4,1,92,0,85,0,27,2
547,Neg,Urb,4.933333333,1.666666667,2.666666667,0,95,0,9,2,2.333333333,28,50,30,0,61,2
548,Neut,Urb,5.2,4,1,100,0,93,0,4,1,100,0,95,0,0.67,1
549,Neut,Anim,5.133333333,3,1,60,0,30,0,2.333333333,1.666666667,60,0,40,0,38,2
550,Neut,Urb,5.1,4,1,84,10,80,9,4,2,95,6,93,4,29,1
551,Neut,Nat,5.7,3,1,69,0,90,0,4,1,100,0,100,0,32,1
552,Neg,Nat,4.433333333,1,2.666666667,10,42,13,10,2,2.666666667,16,33,11,2,31,1
553,Neut,Urb,5.166666667,4,1,91,3,68,4,3,1,69,30,88,0,29,1
554,Neut,Urb,5.233333333,2.666666667,1.666666667,28,10,11,3,3,1.666666667,21,12,8,2,28,1
555,Neg,Nat,5.733333333,2.333333333,2.666666667,26,79,70,53,2.666666667,1.666666667,60,73,58,54,28,1
556,Neut,Anim,6.166666667,3.666666667,1.333333333,80,10,50,5,4,1.666666667,100,0,50,0,29,1
